,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,24-Jun-2025,25-Jun-2025,26-Jun-2025,27-Jun-2025,30-Jun-2025,1-Jul-2025,2-Jul-2025,"Rough, Conected to other sheet",3-Jul-2025,4-Jul-2025,7-Jul-2025,8-Jul-2025,9-Jul-2025,11-Jul-2025,14-Jul-2025,15-Jul-2025,16-Jul-2025,17-Jul-2025,18-Jul-2025,21-Jul-2025,22-Jul-2025,23-Jul-2025,24-Jul-2025,25-Jul-2025,28-Jul-2025,29-Jul-2025,30-Jul-2025,31-Jul-2025,1-Aug-2025,4-Aug-2025,5-Aug-2025,7-Aug-2025,8-Aug-2025,11-Aug-2025,12-Aug-2025,13-Aug-2025,14-Aug-2025,18-Aug-2025,19-Aug-2025,20-Aug-2025,21-Aug-2025,22-Aug-2025,25-Aug-2025,26-Aug-2025,1-Sep-2025,3-Sep-2025,4-Sep-2025,5-Sep-2025,8-Sep-2025,9-Sep-2025,10-Sep-2025,11-Sep-2025,12-Sep-2025,15-Sep-2025,16-Sep-2025,17-Sep-2025,19-Sep-2025,22-Sep-2025,23-Sep-2025,24-Sep-2025,25-Sep-2025,26-Sep-2025,29-Sep-2025,30-Sep-2025,1-Oct-2025,3-Oct-2025,6-Oct-2025,7-Oct-2025,9-Oct-2025,10-Oct-2025,13-Oct-2025,14-Oct-2025,16-Oct-2025,21-Oct-2025,23-Oct-2025,24-Oct-2025,27-Oct-2025,28-Oct-2025,29-Oct-2025,30-Oct-2025,3-Nov-2025,4-Nov-2025,5-Nov-2025,6-Nov-2025,7-Nov-2025,10-Nov-2025,11-Nov-2025,12-Nov-2025,13-Nov-2025,14-Nov-2025,,,,,
,Sr No.,Decription,PDPs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,site:https://www.myntra.com,"2,89,00,000","2,91,00,000 ","2,90,00,000 ","2,89,00,000 ","2,86,00,000 ","2,85,00,000 ","2,83,00,000 ",,"2,85,00,000","2,83,00,000","2,82,00,000","2,78,00,000","2,73,00,000","65,80,000","72,30,000","60,00,000","52,10,000","50,80,000","50,40,000","51,80,000","54,10,000","54,20,000","55,50,000","56,00,000","57,00,000","57,20,000","57,30,000","56,90,000","56,30,000","57,70,000","57,30,000","60,10,000","62,70,000","62,70,000","63,20,000","67,00,000","66,70,000","64,10,000","79,60,000","79,60,000","72,10,000","76,90,000","74,90,000","68,50,000","61,30,000","60,80,000","62,30,000","62,30,000","63,20,000","62,50,000","63,30,000","63,10,000","62,20,000","63,40,000","64,20,000","64,00,000","62,90,000","64,90,000","65,30,000","63,50,000","62,60,000","62,50,000"," 65,50,000","67,10,000","68,60,000","7,220,000","7,280,000","7,260,000","72,80,000","72,40,000","7,260,000","7,410,000","7,400,000","7,650,000","7,790,000","77,90,000","7,580,000","75,80,000","75,00,000","76,10,000","72,80,000","73,40,000","75,80,000","70,10,000","76,30,000","73,20,000 ","71,00,000","70,40,000","69,50,000","69,00,000",,,,,"40,10,000"
,1,All product pages,site:https://www.myntra.com inurl:/buy,"2,67,00,000","2,65,00,000 ","2,66,00,000 ","2,64,00,000 ","2,61,00,000 ","2,63,00,000 ","2,61,00,000 ",,"2,58,00,000","2,58,00,000","2,49,00,000","2,48,00,000","2,44,00,000","52,10,000","50,90,000","49,80,000","48,10,000","45,30,000","43,90,000","46,70,000","48,40,000","49,90,000","51,10,000","51,40,000","51,70,000","52,50,000","52,60,000","51,40,000","51,80,000","53,00,000","52,90,000","54,20,000","56,80,000","56,80,000","56,80,000","59,10,000","58,20,000","56,80,000","58,10,000","58,10,000","57,60,000","57,60,000","59,80,000","59,30,000","55,60,000","56,90,000",,,"58,80,000","59,10,000","59,40,000","59,60,000","58,30,000","59,10,000","59,40,000","60,30,000","57,60,000","59,40,000","59,10,000","58,20,000","57,30,000","57,20,000","61,00,000","63,10,000","62,80,000","6,580,000","6,810,000","6,760,000","6,670,000","6,670,000","6,660,000","6,790,000","6,860,000","6,930,000","7,030,000","7,090,000","6,850,000","67,70,000","68,40,000","67,50,000","66,30,000","66,60,000","67,00,000","67,60,000","67,60,000","66,00,000 ","64,90,000","64,20,000","63,20,000","63,90,000",,,,,"43,40,000"
,2,,site:https://www.myntra.com inurl:/buy -inurl:utm_source -inurl:src -inurl:pdp -inurl:src -inurl:up= -inurl=serp -inurl=pdp_imagetemp=,"2,64,00,000","2,64,00,000 ","2,62,00,000 ","2,61,00,000 ","2,60,00,000 ","2,60,00,000 ","2,60,00,000 ",,"2,57,00,000","2,57,00,000","2,51,00,000","2,48,00,000","2,41,00,000","49,90,000","50,30,000","49,00,000","47,70,000","43,30,000","42,60,000","46,40,000","48,10,000","49,50,000","50,70,000","50,60,000","52,10,000","52,20,000","52,30,000","51,80,000","51,00,000","52,30,000","52,60,000","53,70,000","56,30,000","56,30,000","57,00,000","58,80,000","57,00,000","55,90,000","57,70,000","57,70,000","56,50,000","57,40,000","58,70,000","58,90,000","55,20,000","56,20,000","58,10,000","58,10,000","58,30,000","58,90,000","58,70,000","58,60,000","58,50,000","58,90,000","59,60,000","58,60,000","57,10,000","58,40,000","59,70,000","57,20,000","56,80,000","57,00,000","60,70,000","61,80,000","62,50,000","6,550,000","6,780,000","6,680,000","6,700,000","6,710,000","6,630,000","6,680,000","6,790,000","6,950,000","7,060,000","7,040,000","6,740,000","67,20,000","67,30,000","66,70,000","65,90,000","66,50,000","67,00,000","67,80,000","67,30,000","65,70,000 ","64,40,000","63,80,000","62,90,000","62,50,000",URL Types,Actual Indexed pages,Pages ratio,Total Pages (Log file),"36,80,000"
,3,,site:https://www.myntra.com inurl:/buy?utm_source,"45,000","45,400","44,800","45,300","47,500","45,800","47,900",,"47,100","47,500","48,400","48,400","47,600","47,200","46,000","46,200","45,800","46,500","47,400","43,100","43,400","43,800","42,500","43,100","42,600","42,700","42,300","42,400","41,800","42,600","43,900","41,800","42,600","42,600","41,900","42,600","42,300","42,400","43,800","43,800","42,200","41,900","42,900","43,200","42,400","41,900","41,100","41,100","41,700","42,700","41,000","40,600","40,300","40,400","40,200","40,100","42,500","39,400","40,100","39,700","39,500","39,400","38,700","39,500","41,700","43,200","45,700","46,800","31,700","30,100","30,100","30,000","29,500","29,800","23,500","28,200","29,800","18,300","19,600","17,800","18,600","17,900","19,800","18,700","16,600","20,400","20,800","20,400","18,800","20,600",Unique products,"600,000",,,"41,60,000"
,4,,site:https://www.myntra.com inurl:/buy inurl:src,"16,600","16,900","16,600","16,600","16,600","16,600","16,500",,"16,500","16,600","17,700","16,800","16,400","16,300","16,700","15,700","16,000","16,100","15,700","15,000","15,400","14,900","15,000","14,800","15,600","14,900","14,800","14,800","15,100","14,900","15,900","15,300","14,900","14,900","15,500","15,800","15,100","14,600","15,400","15,400","14,500","14,400","14,500","14,700","15,600","14,900","15,200","15,200","14,600","15,100","14,300","15,000","14,600","14,900","14,300","14,200","14,200","14,200","14,700","14,800","14,600","14,300","15,000","14,400","14,300","14,100","14,200","14,200","14,200","14,200","14,300","14,900","14,900","14,400","14,100","14,200","14,000","13,900","13,900","14,300","14,200","14,100","14,000","13,600","13,700","13,500","13,300","13,600","13,600","13,300",PDP AMP pages,"3,190,000",5,,"40,30,000"
,5,,site:https://www.myntra.com inurl:/buy inurl:utm_source=SeenIt,326,287,283,290,308,309,479,,287,281,293.00,288,287,262,246,257,245,243,268,211,209,208,236,234,214,238,200,210,196,250,325,212,434,434,210,288,295,222,221,221,220,202,268,257,257,218,184,184,188,186,205,280,177,176,205,174,206,169,169,187,184,167,214,192,162,165,Scrape Failed,179,212,166,159,267,177,193,158,215,212,176,250,162,137,245,129,125,149,111,226,196,169,122,Pages with parameters,"168,000",0.28,,"35,50,000"
,6,,site:https://www.myntra.com inurl:/buy inurl:serp,"1,900","1,840","1,810","1,820","1,870","1,970","1,790",,"2,260","1,820","1,920.00","1,850","1,870","1,790","1,810","1,650","1,660","2,090","1,470","1,260","1,500","1,670","1,420","1,230","1,230","1,310","1,450","1,430","1,230","1,310","1,520","1,140","1,150","1,150","1,460","1,190","1,230","1,390","1,150","1,150","1,130","1,120","1,180","1,130","1,090","1,210","1,060","1,060","1,040","1,080","1,190",,"1,160",993,984,960,989,954,"1,050",975,"1,120","1,220",889,890,920,"1,030","1,190",927,920,872,848,959,888,864,"1,030",949,"1,010",834,"1,080",935,867,867,951,847,904,859,774,788,795,900,Clean PDP pages,"90,600",0.15,"194,000","30,40,000"
,7,,site:https://www.myntra.com inurl:/buy inurl:-&-,"1,60,000 ","1,60,000 ","1,60,000 ","1,61,000 ","1,67,000 ","1,64,000 ","1,63,000 ",,"1,64,000","1,67,000","1,72,000","1,71,000","1,70,000","1,65,000","1,64,000","1,66,000","1,61,000","1,65,000","1,64,000","1,61,000","1,62,000","1,68,000","1,62,000","1,62,000","1,68,000","1,67,000","1,68,000","1,66,000","1,69,000","1,67,000","1,67,000","1,71,000","1,69,000","1,69,000","1,70,000","1,68,000","1,68,000","1,69,000","1,67,000","1,67,000","1,68,000","1,67,000","1,70,000","1,70,000","1,69,000","1,67,000","1,67,000","1,67,000","1,72,000","1,67,000","1,69,000","1,68,000","1,68,000","1,69,000","1,68,000","1,68,000","1,68,000","1,69,000","1,70,000","1,67,000","1,65,000","1,64,000","1,67,000","1,70,000"," 1,68,000","170,000","172,000","179,000","172,000","172,000","173,000","172,000","173,000","173,000","176,000","178,000","175,000","1,77,000","1,75,000","1,75,000","1,74,000","1,76,000","1,76,000","1,77,000","1,76,000","1,75,000 ","1,74,000","1,74,000","1,74,000","1,75,000",Indexed paginated PDP,"20,000",0.03,,"32,30,000"
,8,,site:https://www.myntra.com inurl:/buy inurl:&,"1,59,000 ","1,61,000 ","1,60,000 ","1,66,000 ","1,64,000 ","1,62,000 ","1,63,000 ",,"1,67,000","1,64,000","1,70,000","1,71,000","1,70,000","1,70,000","1,61,000","1,63,000","1,67,000","1,63,000","1,64,000","1,61,000","1,60,000","1,61,000","1,61,000","1,62,000","1,68,000","1,65,000","1,66,000","1,68,000","1,71,000","1,69,000","1,71,000","1,68,000","1,69,000","1,69,000","1,71,000","1,71,000","1,70,000","1,68,000","1,68,000","1,68,000","1,70,000","1,70,000","1,73,000","1,68,000","1,69,000","1,71,000","1,68,000","1,68,000","1,68,000","1,67,000","1,69,000",,"1,71,000","1,67,000","1,68,000","1,67,000","1,67,000","1,68,000","1,68,000","1,69,000","1,64,000","1,64,000","1,67,000","1,67,000","1,67,000","170,000","172,000","172,000","172,000","172,000","172,000","174,000","172,000","172,000","174,000","176,000","177,000","1,75,000","1,76,000","1,76,000","1,74,000","1,75,000","1,76,000","1,78,000","1,81,000","1,74,000 ","1,74,000","1,75,000","1,74,000","1,76,000",,,,,"33,10,000"
